run_timestamp,run_date,listing_count,median_price,mean_price,min_price,max_price,median_deposit,mean_deposit,deposit_listed_count,dimension,value
20260519_111454,20260519,32,2200.0,2436.5625,150.0,7063.0,2196.0,1918.1818181818182,22,pets,Unknown
20260519_111454,20260519,2,2162.5,2162.5,2125.0,2200.0,2451.0,2451.0,1,pets,Pets mentioned
20260519_111454,20260519,21,2200.0,2702.8571428571427,150.0,7063.0,2196.0,1947.142857142857,14,price_reduced,Not reduced
20260519_111454,20260519,13,2125.0,1964.2307692307693,1150.0,2750.0,2451.0,1932.3333333333333,9,price_reduced,Price reduced
20260519_111454,20260519,14,2300.0,2647.6428571428573,1751.0,4749.0,2494.5,2558.1,10,property_type,Apartment
20260519_111454,20260519,11,2200.0,2471.4545454545455,1250.0,7063.0,2134.0,1514.2222222222222,9,property_type,Flat
20260519_111454,20260519,2,1175.0,1175.0,1150.0,1200.0,,,0,property_type,House
20260519_111454,20260519,2,4084.0,4084.0,2600.0,5568.0,1500.0,1500.0,2,property_type,Semi-Detached
20260519_111454,20260519,2,1587.0,1587.0,1339.0,1835.0,,,0,property_type,Studio
20260519_111454,20260519,2,2100.0,2100.0,1900.0,2300.0,2192.0,2192.0,1,property_type,Terraced
20260519_111454,20260519,1,150.0,150.0,150.0,150.0,250.0,250.0,1,property_type,Garages
20260519_111454,20260519,32,2162.5,2328.96875,150.0,7063.0,2307.0,2021.4761904761904,21,student_suitable,Not student suitable
20260519_111454,20260519,2,3884.0,3884.0,2200.0,5568.0,1100.0,1100.0,2,student_suitable,Student suitable
20260519_111454,20260519,32,2200.0,2365.96875,150.0,7063.0,2253.5,2029.590909090909,22,zero_deposit,Unknown
20260519_111454,20260519,2,3292.0,3292.0,1835.0,4749.0,0.0,0.0,1,zero_deposit,Zero deposit
20260519_112644,20260519,12,2062.5,2410.4166666666665,1751.0,4749.0,2253.5,2299.4,10,bedrooms,2 bed
20260519_112644,20260519,11,2000.0,2027.7272727272727,1150.0,3300.0,2538.0,2625.6666666666665,6,bedrooms,1 bed
20260519_112644,20260519,5,2750.0,3472.6,2300.0,7063.0,0.0,884.3333333333334,3,bedrooms,3 bed
20260519_112644,20260519,4,1587.0,1383.5,150.0,2210.0,125.0,125.0,2,bedrooms,Studio / 0 bed
20260519_112644,20260519,1,2600.0,2600.0,2600.0,2600.0,3000.0,3000.0,1,bedrooms,4 bed
20260519_112644,20260519,1,5568.0,5568.0,5568.0,5568.0,0.0,0.0,1,bedrooms,5+ bed
20260519_112644,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,bills,Unknown
20260519_112644,20260519,33,2200.0,2427.121212121212,150.0,7063.0,2200.0,1941.3478260869565,23,build_to_rent,Not build to rent
20260519_112644,20260519,1,2200.0,2200.0,2200.0,2200.0,,,0,build_to_rent,Build to rent
20260519_112644,20260519,32,2200.0,2365.96875,150.0,7063.0,2253.5,2029.590909090909,22,deposit,Deposit listed
20260519_112644,20260519,2,3292.0,3292.0,1835.0,4749.0,0.0,0.0,1,deposit,Zero deposit
20260519_112644,20260519,18,2255.0,2575.3888888888887,1339.0,5568.0,2538.0,2179.153846153846,13,furnish_type,Furnished
20260519_112644,20260519,5,1250.0,2432.6,1150.0,7063.0,923.0,923.0,2,furnish_type,Ask agent
20260519_112644,20260519,4,2100.0,2037.75,1751.0,2200.0,2253.5,2253.5,2,furnish_type,"Furnished or unfurnished, landlord is flexible"
20260519_112644,20260519,4,2350.0,2893.5,2125.0,4749.0,2451.0,1740.0,3,furnish_type,Part furnished
20260519_112644,20260519,3,1900.0,1350.0,150.0,2000.0,2192.0,1583.0,3,furnish_type,Unfurnished
20260519_112644,20260519,30,2162.5,2386.0666666666666,150.0,7063.0,2200.0,1866.4736842105262,19,investment_opportunity,Unknown
20260519_112644,20260519,4,2475.0,2678.25,1863.0,3900.0,2344.0,2297.0,4,investment_opportunity,Investment opportunity
20260519_112644,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,let_type,Unknown
20260519_112644,20260519,23,2000.0,2288.782608695652,150.0,7063.0,2192.0,1825.7058823529412,17,luxury,Unknown
20260519_112644,20260519,11,2210.0,2695.7272727272725,1339.0,5568.0,2653.5,2269.0,6,luxury,Luxury
20260519_112644,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,online_viewings,No online viewing flag
20260519_112644,20260519,32,2200.0,2436.5625,150.0,7063.0,2196.0,1918.1818181818182,22,pets,Unknown
20260519_112644,20260519,2,2162.5,2162.5,2125.0,2200.0,2451.0,2451.0,1,pets,Pets mentioned
20260519_112644,20260519,21,2200.0,2702.8571428571427,150.0,7063.0,2196.0,1947.142857142857,14,price_reduced,Not reduced
20260519_112644,20260519,13,2125.0,1964.2307692307693,1150.0,2750.0,2451.0,1932.3333333333333,9,price_reduced,Price reduced
20260519_112644,20260519,14,2300.0,2647.6428571428573,1751.0,4749.0,2494.5,2558.1,10,property_type,Apartment
20260519_112644,20260519,11,2200.0,2471.4545454545455,1250.0,7063.0,2134.0,1514.2222222222222,9,property_type,Flat
20260519_112644,20260519,2,1175.0,1175.0,1150.0,1200.0,,,0,property_type,House
20260519_112644,20260519,2,4084.0,4084.0,2600.0,5568.0,1500.0,1500.0,2,property_type,Semi-Detached
20260519_112644,20260519,2,1587.0,1587.0,1339.0,1835.0,,,0,property_type,Studio
20260519_112644,20260519,2,2100.0,2100.0,1900.0,2300.0,2192.0,2192.0,1,property_type,Terraced
20260519_112644,20260519,1,150.0,150.0,150.0,150.0,250.0,250.0,1,property_type,Garages
20260519_112644,20260519,32,2162.5,2328.96875,150.0,7063.0,2307.0,2021.4761904761904,21,student_suitable,Not student suitable
20260519_112644,20260519,2,3884.0,3884.0,2200.0,5568.0,1100.0,1100.0,2,student_suitable,Student suitable
20260519_112644,20260519,32,2200.0,2365.96875,150.0,7063.0,2253.5,2029.590909090909,22,zero_deposit,Unknown
20260519_112644,20260519,2,3292.0,3292.0,1835.0,4749.0,0.0,0.0,1,zero_deposit,Zero deposit
20260519_112757,20260519,12,2062.5,2410.4166666666665,1751.0,4749.0,2253.5,2299.4,10,bedrooms,2 bed
20260519_112757,20260519,11,2000.0,2027.7272727272727,1150.0,3300.0,2538.0,2625.6666666666665,6,bedrooms,1 bed
20260519_112757,20260519,5,2750.0,3472.6,2300.0,7063.0,0.0,884.3333333333334,3,bedrooms,3 bed
20260519_112757,20260519,4,1587.0,1383.5,150.0,2210.0,125.0,125.0,2,bedrooms,Studio / 0 bed
20260519_112757,20260519,1,2600.0,2600.0,2600.0,2600.0,3000.0,3000.0,1,bedrooms,4 bed
20260519_112757,20260519,1,5568.0,5568.0,5568.0,5568.0,0.0,0.0,1,bedrooms,5+ bed
20260519_112757,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,bills,Unknown
20260519_112757,20260519,33,2200.0,2427.121212121212,150.0,7063.0,2200.0,1941.3478260869565,23,build_to_rent,Not build to rent
20260519_112757,20260519,1,2200.0,2200.0,2200.0,2200.0,,,0,build_to_rent,Build to rent
20260519_112757,20260519,32,2200.0,2365.96875,150.0,7063.0,2253.5,2029.590909090909,22,deposit,Deposit listed
20260519_112757,20260519,2,3292.0,3292.0,1835.0,4749.0,0.0,0.0,1,deposit,Zero deposit
20260519_112757,20260519,18,2255.0,2575.3888888888887,1339.0,5568.0,2538.0,2179.153846153846,13,furnish_type,Furnished
20260519_112757,20260519,5,1250.0,2432.6,1150.0,7063.0,923.0,923.0,2,furnish_type,Ask agent
20260519_112757,20260519,4,2100.0,2037.75,1751.0,2200.0,2253.5,2253.5,2,furnish_type,"Furnished or unfurnished, landlord is flexible"
20260519_112757,20260519,4,2350.0,2893.5,2125.0,4749.0,2451.0,1740.0,3,furnish_type,Part furnished
20260519_112757,20260519,3,1900.0,1350.0,150.0,2000.0,2192.0,1583.0,3,furnish_type,Unfurnished
20260519_112757,20260519,30,2162.5,2386.0666666666666,150.0,7063.0,2200.0,1866.4736842105262,19,investment_opportunity,Unknown
20260519_112757,20260519,4,2475.0,2678.25,1863.0,3900.0,2344.0,2297.0,4,investment_opportunity,Investment opportunity
20260519_112757,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,let_type,Unknown
20260519_112757,20260519,23,2000.0,2288.782608695652,150.0,7063.0,2192.0,1825.7058823529412,17,luxury,Unknown
20260519_112757,20260519,11,2210.0,2695.7272727272725,1339.0,5568.0,2653.5,2269.0,6,luxury,Luxury
20260519_112757,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,online_viewings,No online viewing flag
20260519_112757,20260519,32,2200.0,2436.5625,150.0,7063.0,2196.0,1918.1818181818182,22,pets,Unknown
20260519_112757,20260519,2,2162.5,2162.5,2125.0,2200.0,2451.0,2451.0,1,pets,Pets mentioned
20260519_112757,20260519,21,2200.0,2702.8571428571427,150.0,7063.0,2196.0,1947.142857142857,14,price_reduced,Not reduced
20260519_112757,20260519,13,2125.0,1964.2307692307693,1150.0,2750.0,2451.0,1932.3333333333333,9,price_reduced,Price reduced
20260519_112757,20260519,14,2300.0,2647.6428571428573,1751.0,4749.0,2494.5,2558.1,10,property_type,Apartment
20260519_112757,20260519,11,2200.0,2471.4545454545455,1250.0,7063.0,2134.0,1514.2222222222222,9,property_type,Flat
20260519_112757,20260519,2,1175.0,1175.0,1150.0,1200.0,,,0,property_type,House
20260519_112757,20260519,2,4084.0,4084.0,2600.0,5568.0,1500.0,1500.0,2,property_type,Semi-Detached
20260519_112757,20260519,2,1587.0,1587.0,1339.0,1835.0,,,0,property_type,Studio
20260519_112757,20260519,2,2100.0,2100.0,1900.0,2300.0,2192.0,2192.0,1,property_type,Terraced
20260519_112757,20260519,1,150.0,150.0,150.0,150.0,250.0,250.0,1,property_type,Garages
20260519_112757,20260519,32,2162.5,2328.96875,150.0,7063.0,2307.0,2021.4761904761904,21,student_suitable,Not student suitable
20260519_112757,20260519,2,3884.0,3884.0,2200.0,5568.0,1100.0,1100.0,2,student_suitable,Student suitable
20260519_112757,20260519,32,2200.0,2365.96875,150.0,7063.0,2253.5,2029.590909090909,22,zero_deposit,Unknown
20260519_112757,20260519,2,3292.0,3292.0,1835.0,4749.0,0.0,0.0,1,zero_deposit,Zero deposit
20260519_113050,20260519,12,2062.5,2410.4166666666665,1751.0,4749.0,2253.5,2299.4,10,bedrooms,2 bed
20260519_113050,20260519,11,2000.0,2027.7272727272727,1150.0,3300.0,2538.0,2625.6666666666665,6,bedrooms,1 bed
20260519_113050,20260519,5,2750.0,3472.6,2300.0,7063.0,0.0,884.3333333333334,3,bedrooms,3 bed
20260519_113050,20260519,4,1587.0,1383.5,150.0,2210.0,125.0,125.0,2,bedrooms,Studio / 0 bed
20260519_113050,20260519,1,2600.0,2600.0,2600.0,2600.0,3000.0,3000.0,1,bedrooms,4 bed
20260519_113050,20260519,1,5568.0,5568.0,5568.0,5568.0,0.0,0.0,1,bedrooms,5+ bed
20260519_113050,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,bills,Unknown
20260519_113050,20260519,33,2200.0,2427.121212121212,150.0,7063.0,2200.0,1941.3478260869565,23,build_to_rent,Not build to rent
20260519_113050,20260519,1,2200.0,2200.0,2200.0,2200.0,,,0,build_to_rent,Build to rent
20260519_113050,20260519,32,2200.0,2365.96875,150.0,7063.0,2253.5,2029.590909090909,22,deposit,Deposit listed
20260519_113050,20260519,2,3292.0,3292.0,1835.0,4749.0,0.0,0.0,1,deposit,Zero deposit
20260519_113050,20260519,18,2255.0,2575.3888888888887,1339.0,5568.0,2538.0,2179.153846153846,13,furnish_type,Furnished
20260519_113050,20260519,5,1250.0,2432.6,1150.0,7063.0,923.0,923.0,2,furnish_type,Ask agent
20260519_113050,20260519,4,2100.0,2037.75,1751.0,2200.0,2253.5,2253.5,2,furnish_type,"Furnished or unfurnished, landlord is flexible"
20260519_113050,20260519,4,2350.0,2893.5,2125.0,4749.0,2451.0,1740.0,3,furnish_type,Part furnished
20260519_113050,20260519,3,1900.0,1350.0,150.0,2000.0,2192.0,1583.0,3,furnish_type,Unfurnished
20260519_113050,20260519,30,2162.5,2386.0666666666666,150.0,7063.0,2200.0,1866.4736842105262,19,investment_opportunity,Unknown
20260519_113050,20260519,4,2475.0,2678.25,1863.0,3900.0,2344.0,2297.0,4,investment_opportunity,Investment opportunity
20260519_113050,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,let_type,Unknown
20260519_113050,20260519,23,2000.0,2288.782608695652,150.0,7063.0,2192.0,1825.7058823529412,17,luxury,Unknown
20260519_113050,20260519,11,2210.0,2695.7272727272725,1339.0,5568.0,2653.5,2269.0,6,luxury,Luxury
20260519_113050,20260519,34,2200.0,2420.4411764705883,150.0,7063.0,2200.0,1941.3478260869565,23,online_viewings,No online viewing flag
20260519_113050,20260519,32,2200.0,2436.5625,150.0,7063.0,2196.0,1918.1818181818182,22,pets,Unknown
20260519_113050,20260519,2,2162.5,2162.5,2125.0,2200.0,2451.0,2451.0,1,pets,Pets mentioned
20260519_113050,20260519,21,2200.0,2702.8571428571427,150.0,7063.0,2196.0,1947.142857142857,14,price_reduced,Not reduced
20260519_113050,20260519,13,2125.0,1964.2307692307693,1150.0,2750.0,2451.0,1932.3333333333333,9,price_reduced,Price reduced
20260519_113050,20260519,14,2300.0,2647.6428571428573,1751.0,4749.0,2494.5,2558.1,10,property_type,Apartment
20260519_113050,20260519,11,2200.0,2471.4545454545455,1250.0,7063.0,2134.0,1514.2222222222222,9,property_type,Flat
20260519_113050,20260519,2,1175.0,1175.0,1150.0,1200.0,,,0,property_type,House
20260519_113050,20260519,2,4084.0,4084.0,2600.0,5568.0,1500.0,1500.0,2,property_type,Semi-Detached
20260519_113050,20260519,2,1587.0,1587.0,1339.0,1835.0,,,0,property_type,Studio
20260519_113050,20260519,2,2100.0,2100.0,1900.0,2300.0,2192.0,2192.0,1,property_type,Terraced
20260519_113050,20260519,1,150.0,150.0,150.0,150.0,250.0,250.0,1,property_type,Garages
20260519_113050,20260519,32,2162.5,2328.96875,150.0,7063.0,2307.0,2021.4761904761904,21,student_suitable,Not student suitable
20260519_113050,20260519,2,3884.0,3884.0,2200.0,5568.0,1100.0,1100.0,2,student_suitable,Student suitable
20260519_113050,20260519,32,2200.0,2365.96875,150.0,7063.0,2253.5,2029.590909090909,22,zero_deposit,Unknown
20260519_113050,20260519,2,3292.0,3292.0,1835.0,4749.0,0.0,0.0,1,zero_deposit,Zero deposit
